[Data]
Comment,Time Stamp (sec),Status (code),Temperature (K),Magnetic Field (Oe),Sample Position (degrees),Bridge 1 Resistivity (Ohm-m),Bridge 1 Excitation (uA),Bridge 2 Resistivity (Ohm-m),Bridge 2 Excitation (uA),Bridge 3 Resistivity (Ohm-m),Bridge 3 Excitation (uA),Bridge 4 Resistivity (Ohm-m),Bridge 4 Excitation (uA),Bridge 1 Std. Dev. (Ohm-m),Bridge 2 Std. Dev. (Ohm-m),Bridge 3 Std. Dev. (Ohm-m),Bridge 4 Std. Dev. (Ohm-m),Number of Readings,Bridge 1 Resistance (Ohms),Bridge 2 Resistance (Ohms),Bridge 3 Resistance (Ohms),Bridge 4 Resistance (Ohms)
,24068675.808,,1.99995031833649,-62426.77375,0,-3.80437317304313e-006,999.890258789063,1.00399304926395e-005,999.890258789063,9.71144962310791e-005,999.890258789063,,,6.92793566570595e-008,5.64896376766801e-008,8.80955930743659e-007,,25,-0.00380437317304313,0.0100399304926395,0.0971144962310791,
,24068694.372,,2.00005927562714,-60966.2746875,0,-3.96067980676889e-006,999.890258789063,1.00376003980637e-005,999.890258789063,9.71934497356415e-005,999.890258789063,,,7.66734468492474e-008,5.80842502397633e-008,7.23840737025658e-007,,25,-0.00396067980676889,0.0100376003980637,0.0971934497356415,
,24068712.858,,2.00002117156982,-59485.1071875,0,-4.04106082394719e-006,999.890258789063,1.00644360110164e-005,999.890258789063,9.72367390990257e-005,999.890258789063,,,4.86756716656382e-008,5.45688649592953e-008,7.20200076269387e-007,,25,-0.00404106082394719,0.0100644360110164,0.0972367390990257,
,24068731.687,,1.99997613430023,-57971.6578125,0,-3.93239217810333e-006,999.890258789063,1.01005795225501e-005,999.890258789063,9.71159338951111e-005,999.890258789063,,,7.11189343075379e-008,5.89922711362114e-008,8.4322537512832e-007,,25,-0.00393239217810333,0.0101005795225501,0.0971159338951111,
,24068750.813,,2.00000113487244,-56478.884375,0,-3.74786078929901e-006,999.890258789063,1.00844075530767e-005,999.890258789063,9.71710729598999e-005,999.890258789063,,,5.25192346448802e-008,4.71215558773558e-008,7.66379965569307e-007,,25,-0.00374786078929901,0.0100844075530767,0.0971710729598999,
,24068769.299,,1.99999460220337,-55009.766875,0,-3.65669436752796e-006,999.890258789063,1.01226306706667e-005,999.890258789063,9.71231365203857e-005,999.890258789063,,,3.79647922279882e-008,4.92298296863199e-008,7.44346422029095e-007,,25,-0.00365669436752796,0.0101226306706667,0.0971231365203857,
,24068787.801,,2.0000138092041,-53515.225,0,-3.75827042385936e-006,999.890258789063,1.01431545242667e-005,999.890258789063,9.71117135882378e-005,999.890258789063,,,6.31043802698141e-008,5.60259313401806e-008,7.26218806109663e-007,,25,-0.00375827042385936,0.0101431545242667,0.0971117135882378,
,24068807.005,,1.999949426651,-52024.354375,0,-3.86960310861468e-006,999.890258789063,1.0171512067318e-005,999.890258789063,9.70004066824913e-005,999.890258789063,,,4.05471160967756e-008,5.0825998761238e-008,7.45789139959438e-007,,25,-0.00386960310861468,0.010171512067318,0.0970004066824913,
,24068825.444,,1.9999868106842,-50557.00046875,0,-3.8129916973412e-006,999.890258789063,1.015729367733e-005,999.890258789063,9.68781888484955e-005,999.890258789063,,,5.08596294120819e-008,4.84975378042859e-008,7.90342182654434e-007,,25,-0.0038129916973412,0.01015729367733,0.0968781888484955,
,24068844.086,,1.99995970249176,-49012.21625,0,-3.6577601544559e-006,999.890258789063,1.02172303199768e-005,999.890258789063,9.70771107077598e-005,999.890258789063,,,5.74111516697059e-008,5.09338178517596e-008,5.5961436187797e-007,,25,-0.0036577601544559,0.0102172303199768,0.0970771107077599,
